證券代碼,簡稱,年月日,報酬率小數點
1101,台泥         ,20180102,0.002743
1101,台泥         ,20180103,0.021888
1101,台泥         ,20180104,-0.004016
1101,台泥         ,20180105,0.002688
1101,台泥         ,20180108,0.024129
1101,台泥         ,20180109,0.002618
1101,台泥         ,20180110,0.003916
1101,台泥         ,20180111,-0.024707
1101,台泥         ,20180112,0.002667
1101,台泥         ,20180115,0.006649
1101,台泥         ,20180116,0.006605
1101,台泥         ,20180117,0.010499
1101,台泥         ,20180118,-0.016883
1101,台泥         ,20180119,0.001321
1101,台泥         ,20180122,-0.001319
1101,台泥         ,20180123,-0.014531
1101,台泥         ,20180124,0
1101,台泥         ,20180125,0.008043
1101,台泥         ,20180126,0.015957
1101,台泥         ,20180129,-0.006545
1101,台泥         ,20180130,-0.001318
1101,台泥         ,20180131,-0.006596
1101,台泥         ,20180201,0.00664
1101,台泥         ,20180202,0
1101,台泥         ,20180205,-0.002639
1101,台泥         ,20180206,-0.060847
1101,台泥         ,20180207,0.025352
1101,台泥         ,20180208,0.009615
1101,台泥         ,20180209,-0.031293
1101,台泥         ,20180212,0.009831
1101,台泥         ,20180221,0.034771
1101,台泥         ,20180222,-0.018817
1101,台泥         ,20180223,0.009589
1101,台泥         ,20180226,-0.008141
1101,台泥         ,20180227,0.012312
1101,台泥         ,20180301,0
1101,台泥         ,20180302,-0.002703
1101,台泥         ,20180305,-0.01626
1101,台泥         ,20180306,0.00551
1101,台泥         ,20180307,-0.00274
1101,台泥         ,20180308,0
1101,台泥         ,20180309,0.006868
1101,台泥         ,20180312,0.015007
1101,台泥         ,20180313,0.008065
1101,台泥         ,20180314,0
1101,台泥         ,20180315,0.002667
1101,台泥         ,20180316,0
1101,台泥         ,20180319,-0.00133
1101,台泥         ,20180320,-0.005326
1101,台泥         ,20180321,0
1101,台泥         ,20180322,0.005355
1101,台泥         ,20180323,-0.014647
1101,台泥         ,20180326,-0.010811
1101,台泥         ,20180327,0.015027
1101,台泥         ,20180328,-0.004038
1101,台泥         ,20180329,-0.012162
1101,台泥         ,20180330,0.001368
1101,台泥         ,20180331,-0.001366
1101,台泥         ,20180402,0.002736
1101,台泥         ,20180403,0.008186
1101,台泥         ,20180409,0.010825
1101,台泥         ,20180410,0.022758
1101,台泥         ,20180411,0.006545
1101,台泥         ,20180412,-0.009103
1101,台泥         ,20180413,0.002625
1101,台泥         ,20180416,0.001309
1101,台泥         ,20180417,-0.006536
1101,台泥         ,20180418,0.005263
1101,台泥         ,20180419,0.020942
1101,台泥         ,20180420,-0.00641
1101,台泥         ,20180423,0.003871
1101,台泥         ,20180424,0.050129
1101,台泥         ,20180425,-0.015912
1101,台泥         ,20180426,0.007463
1101,台泥         ,20180427,-0.004938
1101,台泥         ,20180430,0.013648
1101,台泥         ,20180502,0
1101,台泥         ,20180503,-0.035496
1101,台泥         ,20180504,0.003807
1101,台泥         ,20180507,0.021492
1101,台泥         ,20180508,0.009901
1101,台泥         ,20180509,-0.004902
1101,台泥         ,20180510,0.012315
1101,台泥         ,20180511,0.00365
1101,台泥         ,20180514,0.046061
1101,台泥         ,20180515,0.008111
1101,台泥         ,20180516,0.055172
1101,台泥         ,20180517,-0.005447
1101,台泥         ,20180518,-0.002191
1101,台泥         ,20180521,0.009879
1101,台泥         ,20180522,-0.008696
1101,台泥         ,20180523,-0.032895
1101,台泥         ,20180524,0.014739
1101,台泥         ,20180525,-0.018994
1101,台泥         ,20180528,0.001139
1101,台泥         ,20180529,-0.012514
1101,台泥         ,20180530,0.008065
1101,台泥         ,20180531,-0.003429
1101,台泥         ,20180601,0.00344
1101,台泥         ,20180604,0.043429
1101,台泥         ,20180605,-0.009858
1101,台泥         ,20180606,-0.00885
1101,台泥         ,20180607,-0.001116
1101,台泥         ,20180608,0.005587
1101,台泥         ,20180611,-0.008889
1101,台泥         ,20180612,-0.002242
1101,台泥         ,20180613,0.021348
1101,台泥         ,20180614,-0.012101
1101,台泥         ,20180615,0.007795
1101,台泥         ,20180619,-0.030939
1101,台泥         ,20180620,0.020525
1101,台泥         ,20180621,0
