證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元)
2330,台積電       ,20170717,215,215.5,211.5,213
2330,台積電       ,20170718,213,214,212,214
2330,台積電       ,20170719,212.5,215,212.5,214.5
2330,台積電       ,20170720,215,215.5,214,215.5
2330,台積電       ,20170721,214,215,213.5,214
2330,台積電       ,20170724,213.5,214.5,213,214.5
2330,台積電       ,20170725,214,214.5,213.5,214
2330,台積電       ,20170726,215,215,212.5,213
2330,台積電       ,20170727,213.5,216,213.5,215.5
2330,台積電       ,20170728,213,214,212.5,213
2330,台積電       ,20170731,211.5,214.5,211.5,214.5
2330,台積電       ,20170801,212.5,214,212,212
2330,台積電       ,20170802,214,216,214,216
2330,台積電       ,20170803,213,214,212.5,213.5
2330,台積電       ,20170804,213.5,214,212.5,213
2330,台積電       ,20170807,213.5,216.5,213.5,216
2330,台積電       ,20170808,217.5,219,216,217.5
2330,台積電       ,20170809,215,215.5,213.5,214.5
2330,台積電       ,20170810,215.5,215.5,212.5,214
2330,台積電       ,20170811,211,213.5,210.5,212.5
2330,台積電       ,20170814,213.5,214,210,211
2330,台積電       ,20170815,213,214.5,213,214
2330,台積電       ,20170816,214.5,214.5,211,213
2330,台積電       ,20170817,213.5,214,213,214
2330,台積電       ,20170818,212,213,211,212.5
2330,台積電       ,20170821,212.5,213,211.5,211.5
2330,台積電       ,20170822,213.5,214.5,213,214.5
2330,台積電       ,20170823,215.5,216,214,215.5
2330,台積電       ,20170824,216,217,215.5,217
2330,台積電       ,20170825,217.5,217.5,216,217.5
2330,台積電       ,20170828,215,216.5,215,216
2330,台積電       ,20170829,216,216,215,216
2330,台積電       ,20170830,216,218,216,217.5
2330,台積電       ,20170831,217.5,218,215.5,216.5
2330,台積電       ,20170901,215,217.5,215,216.5
2330,台積電       ,20170904,216.5,218,215.5,217.5
2330,台積電       ,20170905,218,218,216.5,218
2330,台積電       ,20170906,216.5,218,216,217
2330,台積電       ,20170907,218,218.5,216,217
2330,台積電       ,20170908,217,218,216.5,218
2330,台積電       ,20170911,219,219.5,216.5,217
2330,台積電       ,20170912,219,219.5,217.5,219
2330,台積電       ,20170913,217.5,219,217.5,218
2330,台積電       ,20170914,218.5,219,217.5,218.5
2330,台積電       ,20170915,218.5,219,217,218.5
2330,台積電       ,20170918,219,220,218,219.5
2330,台積電       ,20170919,221.5,221.5,220,221.5
2330,台積電       ,20170920,221,222,220,221.5
2330,台積電       ,20170921,221,223,220,221
2330,台積電       ,20170922,221.5,222,218.5,218.5
2330,台積電       ,20170925,217.5,218.5,217,217
2330,台積電       ,20170926,217.5,218,214,214
2330,台積電       ,20170927,217.5,217.5,215,215
2330,台積電       ,20170928,215,216,213.5,214
2330,台積電       ,20170929,216,217.5,215.5,216.5
2330,台積電       ,20170930,218,218.5,216.5,216.5
2330,台積電       ,20171002,219.5,220.5,218.5,220.5
2330,台積電       ,20171003,219,223,219,222.5
2330,台積電       ,20171005,222,225.5,222,224.5
2330,台積電       ,20171006,225,225.5,223.5,224.5
2330,台積電       ,20171011,226.5,233.5,226.5,233
2330,台積電       ,20171012,235,237.5,234.5,237.5
2330,台積電       ,20171013,237.5,237.5,234.5,237.5
2330,台積電       ,20171016,237.5,238,236,238
2330,台積電       ,20171017,238,238,235,235.5
2330,台積電       ,20171018,239.5,239.5,237,237.5
2330,台積電       ,20171019,239.5,241.5,239,239
2330,台積電       ,20171020,238,239.5,237.5,237.5
2330,台積電       ,20171023,239,240,238.5,239
2330,台積電       ,20171024,240,240,238,238
2330,台積電       ,20171025,238.5,239,237.5,238
2330,台積電       ,20171026,237,238,236,236
2330,台積電       ,20171027,237.5,240,237.5,239
2330,台積電       ,20171030,242,245,241.5,243
2330,台積電       ,20171031,243.5,245,241.5,243
2330,台積電       ,20171101,243.5,245,241.5,242.5
2330,台積電       ,20171102,242,242.5,240.5,241
2330,台積電       ,20171103,240.5,241,238.5,239
2330,台積電       ,20171106,243.5,244,239,239.5
2330,台積電       ,20171107,242,244,241.5,244
2330,台積電       ,20171108,243,243.5,242,242.5
2330,台積電       ,20171109,240.5,243,240,241
2330,台積電       ,20171110,240,242,239.5,240.5
2330,台積電       ,20171113,240,241.5,239.5,239.5
2330,台積電       ,20171114,241,241,239,240
2330,台積電       ,20171115,239,239.5,236,237.5
2330,台積電       ,20171116,238,240,237.5,238
2330,台積電       ,20171117,240.5,242.5,240.5,241.5
2330,台積電       ,20171120,241,241.5,238,238.5
2330,台積電       ,20171121,240,243,239.5,243
2330,台積電       ,20171122,244.5,244.5,242,242
2330,台積電       ,20171123,242,243.5,241.5,242.5
2330,台積電       ,20171124,242,244.5,241.5,244
2330,台積電       ,20171127,240,240,237,237
2330,台積電       ,20171128,234.5,235,233,234
2330,台積電       ,20171129,235,236,234.5,234.5
2330,台積電       ,20171130,226.5,230.5,226,226
2330,台積電       ,20171201,228.5,233.5,227.5,231
2330,台積電       ,20171204,232.5,234.5,231,234
2330,台積電       ,20171205,231,231,228.5,229.5
2330,台積電       ,20171206,228,229.5,226.5,227
2330,台積電       ,20171207,226.5,226.5,222.5,226.5
2330,台積電       ,20171208,231,231,224.5,227
2330,台積電       ,20171211,228.5,229,227,227.5
2330,台積電       ,20171212,229.5,229.5,225,227.5
2330,台積電       ,20171213,227.5,228,226.5,227
2330,台積電       ,20171214,228,230.5,227.5,230.5
2330,台積電       ,20171215,228.5,230,226.5,230
2330,台積電       ,20171218,227,228,226.5,227
2330,台積電       ,20171219,226.5,228.5,224,225
2330,台積電       ,20171220,225,225.5,223.5,224.5
2330,台積電       ,20171221,226.5,227,224.5,225
2330,台積電       ,20171222,225,227.5,224,227.5
2330,台積電       ,20171225,228,229.5,226.5,228.5
2330,台積電       ,20171226,229,229,225,226
2330,台積電       ,20171227,225,226,225,225
2330,台積電       ,20171228,226.5,228,225,226
2330,台積電       ,20171229,227.5,230,226.5,229.5
2330,台積電       ,20180102,231.5,232.5,231,232.5
2330,台積電       ,20180103,236,238,235.5,237
2330,台積電       ,20180104,240,240,236.5,239.5
2330,台積電       ,20180105,240,240,238,240
2330,台積電       ,20180108,242,242.5,240.5,242
2330,台積電       ,20180109,242,242,239.5,242
2330,台積電       ,20180110,241.5,242,236,236.5
2330,台積電       ,20180111,235,236,232.5,235
2330,台積電       ,20180112,234.5,238,233.5,237
2330,台積電       ,20180115,240,240,238,240
2330,台積電       ,20180116,240,240.5,238,240.5
2330,台積電       ,20180117,240.5,243,239,242
2330,台積電       ,20180118,245,250,245,248.5
2330,台積電       ,20180119,253.5,255.5,251.5,255.5
2330,台積電       ,20180122,257.5,262,257,261.5
2330,台積電       ,20180123,262.5,266,262.5,266
2330,台積電       ,20180124,263,263,256.5,258
2330,台積電       ,20180125,258,264,256.5,258
2330,台積電       ,20180126,256.5,257.5,253.5,255
2330,台積電       ,20180129,259,261.5,255,258.5
2330,台積電       ,20180130,256,257.5,252.5,253
2330,台積電       ,20180131,253,257.5,252,255
2330,台積電       ,20180201,257.5,261,257,259.5
2330,台積電       ,20180202,259,260,255,259.5
2330,台積電       ,20180205,251,254.5,250.5,253
2330,台積電       ,20180206,242.5,243.5,234,239
2330,台積電       ,20180207,245,245.5,239.5,240
2330,台積電       ,20180208,239.5,242,238,238.5
2330,台積電       ,20180209,230,233,228.5,232.5
2330,台積電       ,20180212,235.5,237.5,235,236.5
2330,台積電       ,20180221,244.5,244.5,242,242.5
2330,台積電       ,20180222,244,244,239,239.5
2330,台積電       ,20180223,241,245,241,245
2330,台積電       ,20180226,247,247.5,245,246.5
2330,台積電       ,20180227,250.5,250.5,246,246
2330,台積電       ,20180301,244,245,242,243
2330,台積電       ,20180302,240,241,238.5,240
2330,台積電       ,20180305,242.5,243,240.5,241.5
2330,台積電       ,20180306,245.5,250,245.5,250
2330,台積電       ,20180307,248,248.5,246,247
2330,台積電       ,20180308,249.5,251.5,249,249.5
2330,台積電       ,20180309,250,251,248.5,250.5
2330,台積電       ,20180312,252,255,251.5,254
2330,台積電       ,20180313,255.5,259,255,259
2330,台積電       ,20180314,256.5,257.5,255.5,257
2330,台積電       ,20180315,258,258,255,255
2330,台積電       ,20180316,253,256,249.5,255
2330,台積電       ,20180319,252.5,255.5,251,255
2330,台積電       ,20180320,253,254,251.5,253
2330,台積電       ,20180321,255,255,251,252.5
2330,台積電       ,20180322,254.5,254.5,249.5,251.5
2330,台積電       ,20180323,245,247,244,245
2330,台積電       ,20180326,241.5,244.5,241.5,243.5
2330,台積電       ,20180327,248,251,247,251
2330,台積電       ,20180328,247.5,248,244,245
2330,台積電       ,20180329,243,247,242.5,244
2330,台積電       ,20180330,247.5,249.5,246,246
2330,台積電       ,20180331,247.5,249,246.5,247.5
2330,台積電       ,20180402,248.5,249,245,246.5
2330,台積電       ,20180403,243,244.5,242,244
2330,台積電       ,20180409,248,248,243.5,245
2330,台積電       ,20180410,244.5,249,243.5,245.5
2330,台積電       ,20180411,246.5,248.5,246.5,248
2330,台積電       ,20180412,248.5,248.5,244,245
2330,台積電       ,20180413,246,246,244,244.5
2330,台積電       ,20180416,243,244,242,243.5
2330,台積電       ,20180417,243,243.5,237.5,238
2330,台積電       ,20180418,239.5,241.5,236.5,238
2330,台積電       ,20180419,242,244.5,241,244.5
2330,台積電       ,20180420,228,231.5,228,229
2330,台積電       ,20180423,226.5,227.5,225,226.5
2330,台積電       ,20180424,225,227.5,225,227
2330,台積電       ,20180425,225.5,226,224,225
2330,台積電       ,20180426,225,225.5,221,222
2330,台積電       ,20180427,225,225.5,221,223.5
2330,台積電       ,20180430,224.5,228,222.5,227
2330,台積電       ,20180502,227,227.5,222.5,223
2330,台積電       ,20180503,221,222.5,220,220.5
2330,台積電       ,20180504,221,224,220.5,223
2330,台積電       ,20180507,225,225.5,221.5,223.5
2330,台積電       ,20180508,224,228.5,223.5,228
2330,台積電       ,20180509,228.5,232,228.5,229.5
2330,台積電       ,20180510,231,231.5,229,229.5
2330,台積電       ,20180511,232,234,230.5,233
2330,台積電       ,20180514,234.5,234.5,232.5,233
2330,台積電       ,20180515,233.5,234,229.5,230.5
2330,台積電       ,20180516,229.5,230.5,228.5,230.5
2330,台積電       ,20180517,231,231.5,226.5,226.5
2330,台積電       ,20180518,225.5,227.5,223.5,223.5
2330,台積電       ,20180521,225,230,225,229
2330,台積電       ,20180522,230,233.5,229,229
2330,台積電       ,20180523,231.5,231.5,228.5,228.5
2330,台積電       ,20180524,229.5,230,228.5,229
2330,台積電       ,20180525,228.5,229.5,228,228.5
2330,台積電       ,20180528,229.5,230,226.5,227
2330,台積電       ,20180529,226.5,226.5,223.5,225
2330,台積電       ,20180530,224,224,220.5,221
2330,台積電       ,20180531,221.5,224,220.5,224
2330,台積電       ,20180601,224.5,226.5,224,224
2330,台積電       ,20180604,227.5,229,227,229
2330,台積電       ,20180605,230,230,226.5,229
2330,台積電       ,20180606,229,230,227,230
2330,台積電       ,20180607,231,231.5,228,230
2330,台積電       ,20180608,229,229,226,227
2330,台積電       ,20180611,226.5,227,225,226
2330,台積電       ,20180612,225,229,224,229
2330,台積電       ,20180613,229,232,228,232
2330,台積電       ,20180614,230,230,226.5,226.5
2330,台積電       ,20180615,225,231,224,231
2330,台積電       ,20180619,225.5,226,224,225
2330,台積電       ,20180620,224.5,227.5,223.5,226
2330,台積電       ,20180621,227.5,228,226,226.5
2330,台積電       ,20180622,224.5,227.5,224,227.5
2330,台積電       ,20180625,220,220.5,218,218
2330,台積電       ,20180626,215.5,216,212.5,214.5
2330,台積電       ,20180627,216,216,212.5,213
2330,台積電       ,20180628,211,214.5,210,212
2330,台積電       ,20180629,212,217,212,216.5
2330,台積電       ,20180702,218.5,219,214,214
2330,台積電       ,20180703,215.5,218,213.5,214.5
2330,台積電       ,20180704,217,217.5,215.5,216
2330,台積電       ,20180705,214,215,213,214.5
2330,台積電       ,20180706,217.5,217.5,215,217
2330,台積電       ,20180709,219.5,223,218.5,221.5
2330,台積電       ,20180710,223,224,222,222
2330,台積電       ,20180711,220,220,218,220
2330,台積電       ,20180712,218,222,218,220.5
2330,台積電       ,20180713,222.5,224.5,222.5,224.5
2330,台積電       ,20180716,224.5,225,223.5,223.5
2330,台積電       ,20180717,222.5,223.5,221,221.5
2330,台積電       ,20180718,223,224,222,223
2330,台積電       ,20180719,225.5,227,224.5,224.5
2330,台積電       ,20180720,235,237.5,233,237.5
2330,台積電       ,20180723,239,245,238.5,241
2330,台積電       ,20180724,240,241.5,238.5,241
2330,台積電       ,20180725,239,241,239,240.5
2330,台積電       ,20180726,241,242.5,239.5,241
2330,台積電       ,20180727,242,244.5,241,244.5
2330,台積電       ,20180730,244.5,245.5,244,245.5
2330,台積電       ,20180731,243.5,246,242,246
2330,台積電       ,20180801,247,248,246.5,248
2330,台積電       ,20180802,249,249.5,243.5,244.5
2330,台積電       ,20180803,246,248,245,247
2330,台積電       ,20180806,245,247,244,245.5
2330,台積電       ,20180807,245,245.5,241.5,241.5
2330,台積電       ,20180808,245,247.5,244.5,247.5
2330,台積電       ,20180809,247,248,246,247
2330,台積電       ,20180810,246.5,247,244.5,245
2330,台積電       ,20180813,241.5,243,239,240.5
2330,台積電       ,20180814,245,245,242.5,243.5
2330,台積電       ,20180815,244.5,244.5,239.5,241.5
2330,台積電       ,20180816,238,241.5,238,239
