證券代碼	簡稱	年月日	日報酬率 %
COID	Name	MDATE	ROIA
1102   	亞泥         	19910103	  -5.5556
1434   	福懋         	19910103	  -6.6092
1605   	華新         	19910103	  -2.6403
2303   	聯電         	19910103	  -6.9106
2603   	長榮         	19910103	  -6.6116
2809   	京城銀       	19910103	  -6.7797
1102   	亞泥         	19910104	   0.0000
1434   	福懋         	19910104	   1.5385
1605   	華新         	19910104	   5.0847
2303   	聯電         	19910104	  -1.3100
2603   	長榮         	19910104	   0.4425
2809   	京城銀       	19910104	   6.6667
1102   	亞泥         	19910105	   2.5210
1434   	福懋         	19910105	   1.5152
1605   	華新         	19910105	   2.2581
2303   	聯電         	19910105	   3.0973
2603   	長榮         	19910105	   2.6432
2809   	京城銀       	19910105	   2.8409
1102   	亞泥         	19910107	  -6.5574
1434   	福懋         	19910107	  -5.3731
1605   	華新         	19910107	  -6.3091
2303   	聯電         	19910107	  -6.8670
2603   	長榮         	19910107	  -4.7210
2809   	京城銀       	19910107	  -6.6298
1102   	亞泥         	19910108	  -4.3860
1434   	福懋         	19910108	  -3.7855
1605   	華新         	19910108	  -5.0505
2303   	聯電         	19910108	  -5.0691
2603   	長榮         	19910108	  -4.5045
2809   	京城銀       	19910108	  -5.3254
1102   	亞泥         	19910109	   0.9174
1434   	福懋         	19910109	   1.6393
1605   	華新         	19910109	   0.7092
2303   	聯電         	19910109	   0.9709
2603   	長榮         	19910109	   3.7736
2809   	京城銀       	19910109	   0.0000
1102   	亞泥         	19910110	  -6.3636
1434   	福懋         	19910110	  -1.6129
1605   	華新         	19910110	  -6.6901
2303   	聯電         	19910110	  -4.8077
2603   	長榮         	19910110	  -6.8182
2809   	京城銀       	19910110	  -6.8750
1102   	亞泥         	19910111	  -1.9417
1434   	福懋         	19910111	   2.6230
1605   	華新         	19910111	  -3.3962
2303   	聯電         	19910111	   2.0202
2603   	長榮         	19910111	  -3.4146
2809   	京城銀       	19910111	  -6.7114
1102   	亞泥         	19910112	   0.0000
1434   	福懋         	19910112	  -3.1949
1605   	華新         	19910112	  -0.3906
2303   	聯電         	19910112	   0.4950
2603   	長榮         	19910112	  -3.0303
2809   	京城銀       	19910112	  -6.4748
1102   	亞泥         	19910114	   0.9901
1434   	福懋         	19910114	   1.6502
1605   	華新         	19910114	   1.5686
2303   	聯電         	19910114	   1.9704
2603   	長榮         	19910114	   3.6458
2809   	京城銀       	19910114	   2.3077
1102   	亞泥         	19910115	  -6.8627
1434   	福懋         	19910115	  -6.8182
1605   	華新         	19910115	  -6.9498
2303   	聯電         	19910115	  -6.2802
2603   	長榮         	19910115	  -6.5327
2809   	京城銀       	19910115	  -6.7669
1102   	亞泥         	19910116	   0.0000
1434   	福懋         	19910116	   0.3484
1605   	華新         	19910116	   1.6598
2303   	聯電         	19910116	   2.5773
2603   	長榮         	19910116	   0.5376
2809   	京城銀       	19910116	  -2.8226
1102   	亞泥         	19910117	   6.3158
1434   	福懋         	19910117	   6.9444
1605   	華新         	19910117	   6.9388
2303   	聯電         	19910117	   6.5327
2603   	長榮         	19910117	   6.9519
2809   	京城銀       	19910117	   6.6390
1102   	亞泥         	19910118	   6.9307
1434   	福懋         	19910118	   6.8182
1605   	華新         	19910118	   6.8702
2303   	聯電         	19910118	   6.6038
2603   	長榮         	19910118	   7.0000
2809   	京城銀       	19910118	   6.6148
1102   	亞泥         	19910119	   2.7778
1434   	福懋         	19910119	  -0.3040
1605   	華新         	19910119	   3.5714
2303   	聯電         	19910119	   3.5398
2603   	長榮         	19910119	   0.4673
2809   	京城銀       	19910119	   6.9343
1102   	亞泥         	19910121	   0.0000
1434   	福懋         	19910121	  -0.9146
1605   	華新         	19910121	   2.4138
2303   	聯電         	19910121	   1.2821
2603   	長榮         	19910121	   0.4651
2809   	京城銀       	19910121	   6.4846
1102   	亞泥         	19910122	  -3.6036
1434   	福懋         	19910122	  -2.7692
1605   	華新         	19910122	  -4.0404
2303   	聯電         	19910122	  -4.2194
2603   	長榮         	19910122	  -1.8519
2809   	京城銀       	19910122	   6.4103
1102   	亞泥         	19910123	  -5.6075
1434   	福懋         	19910123	  -4.7468
1605   	華新         	19910123	  -6.6667
2303   	聯電         	19910123	  -5.7269
2603   	長榮         	19910123	  -6.6038
2809   	京城銀       	19910123	  -6.6265
1102   	亞泥         	19910124	   6.9307
1434   	福懋         	19910124	   6.9767
1605   	華新         	19910124	   6.7669
2303   	聯電         	19910124	   6.5421
2603   	長榮         	19910124	   6.5657
2809   	京城銀       	19910124	   6.4516
